"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\graphTest.js", "JavaScript", 187, 0, 15, 37, 239
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\msTest.js", "JavaScript", 90, 0, 13, 16, 119
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\package-lock.json", "JSON", 0, 4740, 0, 1, 4741
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\package.json", "JSON", 0, 36, 0, 1, 37
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\config\checklist.js", "JavaScript", 92, 0, 0, 36, 128
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\config\cloudkey.json", "JSON", 0, 13, 0, 1, 14
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\config\db.js", "JavaScript", 14, 0, 0, 1, 15
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\config\supabase.js", "JavaScript", 5, 0, 0, 3, 8
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\checklistController.js", "JavaScript", 687, 0, 0, 47, 734
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\documentRequestController.js", "JavaScript", 86, 0, 0, 15, 101
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\engagementController.js", "JavaScript", 1569, 0, 0, 295, 1864
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\libcontroller.js", "JavaScript", 212, 0, 0, 44, 256
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\procedureController.js", "JavaScript", 326, 0, 35, 65, 426
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\controllers\userController.js", "JavaScript", 164, 0, 12, 21, 197
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\middlewares\auth.js", "JavaScript", 40, 0, 0, 8, 48
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\middlewares\upload.js", "JavaScript", 4, 0, 0, 2, 6
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\ChecklistItem.js", "JavaScript", 55, 0, 0, 3, 58
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\ClassificationSection.js", "JavaScript", 27, 0, 0, 4, 31
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\DocumentRequest.js", "JavaScript", 21, 0, 0, 3, 24
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\Engagement.js", "JavaScript", 43, 0, 1, 10, 54
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\EngagementLibrary.js", "JavaScript", 9, 0, 0, 3, 12
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\ExtendedTrialBalance.js", "JavaScript", 58, 0, 0, 5, 63
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\GlobalFolder.js", "JavaScript", 9, 0, 0, 3, 12
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\Procedure.js", "JavaScript", 104, 0, 1, 8, 113
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\TrialBalance.js", "JavaScript", 23, 0, 0, 3, 26
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\models\WorkingPaper.js", "JavaScript", 25, 0, 0, 5, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\checklist.js", "JavaScript", 14, 0, 0, 4, 18
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\documentRequests.js", "JavaScript", 27, 0, 0, 6, 33
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\engagements.js", "JavaScript", 115, 0, 0, 15, 130
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\global-library.js", "JavaScript", 14, 0, 0, 5, 19
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\procedures.js", "JavaScript", 9, 0, 5, 7, 21
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\routes\users.js", "JavaScript", 7, 0, 0, 3, 10
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\server.js", "JavaScript", 43, 0, 0, 9, 52
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\services\googleSheetsService.js", "JavaScript", 147, 0, 8, 25, 180
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\services\microsoftExcelService.js", "JavaScript", 331, 0, 0, 45, 376
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\static\procedures.js", "JavaScript", 1585, 0, 0, 1, 1586
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\static\proceduresPrompt.js", "JavaScript", 310, 0, 0, 84, 394
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\static\proceduresPromptHybrid.js", "JavaScript", 161, 0, 0, 42, 203
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\src\static\recommendationsPrompt.js", "JavaScript", 27, 0, 0, 1, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-backend\testscript.js", "JavaScript", 20, 0, 1, 4, 25
"Total", "-", 6660, 4789, 91, 891, 12431
